region,year ,month,date,hospital_beds,COVID_hospitals,Hospitals,COVID_Beds,Intensive_COVID_beds,ID_Beds,Infection_beds,COVID_proportion,Hospitals_involved
Русе,2020,ноември,15.11.2020,1850,5,10,478,68,19,20,"25,84","50,0"
Сливен,2020,ноември,15.11.2020,1167,5,8,210,43,15,48,"17,99","62,5"
Смолян,2020,ноември,15.11.2020,1059,4,8,158,12,7,34,"14,92","50,0"
София-град,2020,ноември,15.11.2020,12254,70,74,2771,752,269,496,"22,61","94,6"
Шумен,2020,ноември,15.11.2020,747,3,5,213,26,4,65,"28,51","60,0"
Ямбол,2020,ноември,15.11.2020,452,4,4,111,23,6,20,"24,56","100,0"
Бургас,2020,ноември,15.11.2020,3050,11,18,583,77,28,53,"19,11","61,1"
Кърджали,2020,ноември,15.11.2020,769,4,6,79,19,8,24,"10,27","66,7"
Хасково,2020,ноември,15.11.2020,1093,8,11,163,38,10,22,"14,91","72,7"
Благоевград,2020,октомври,15.10.2020,1815,6,11,482,57,24,69,"26,56","54,5"
Варна,2020,октомври,15.10.2020,2389,5,19,161,90,20,70,"6,74","26,3"
Велико Търново,2020,октомври,15.10.2020,1576,4,13,88,31,0,58,"5,58","30,8"
Видин,2020,октомври,15.10.2020,320,1,2,54,6,6,0,"16,88","50,0"
Враца,2020,октомври,15.10.2020,1201,0,12,64,40,0,10,"5,33","0,0"
Габрово,2020,октомври,15.10.2020,905,4,7,62,13,0,44,"6,85","57,1"
Кюстендил,2020,октомври,15.10.2020,1011,3,5,73,22,10,46,"7,22","60,0"
Монтана,2020,октомври,15.10.2020,994,4,5,93,22,5,0,"9,36","80,0"
Перник,2020,октомври,15.10.2020,447,3,4,79,10,0,15,"17,67","75,0"
Плевен,2020,октомври,15.10.2020,2272,10,14,116,105,11,40,"5,11","71,4"
Пловдив,2020,октомври,15.10.2020,7617,17,39,537,242,75,84,"7,05","43,6"
Разград,2020,октомври,15.10.2020,553,3,3,65,22,0,15,"11,75","100,0"
Русе,2020,октомври,15.10.2020,1850,4,10,160,36,33,20,"8,65","40,0"
Сливен,2020,октомври,15.10.2020,1167,5,8,117,27,0,48,"10,03","62,5"
Смолян,2020,октомври,15.10.2020,1059,4,8,158,9,5,20,"14,92","50,0"
София-град,2020,октомври,15.10.2020,12314,22,74,898,682,119,220,"7,29","29,7"
Шумен,2020,октомври,15.10.2020,747,0,5,0,28,0,60,"0,00","0,0"
Ямбол,2020,октомври,15.10.2020,452,4,4,40,23,0,20,"8,85","100,0"
Бургас,2020,октомври,15.10.2020,3050,12,18,257,77,19,53,"8,43","66,7"
Кърджали,2020,октомври,15.10.2020,769,4,6,53,19,6,24,"6,89","66,7"
Хасково,2020,октомври,15.10.2020,1093,7,11,46,38,0,22,"4,21","63,6"
Благоевград,2020,септември,15.9.2020,1815,6,11,345,57,22,69,"19,01","54,5"
Варна,2020,септември,15.9.2020,2389,4,19,110,90,5,70,"4,60","21,1"
Велико Търново,2020,септември,15.9.2020,1576,4,13,50,31,0,35,"3,17","30,8"
Видин,2020,септември,15.9.2020,320,1,2,54,6,6,0,"16,88","50,0"
Враца,2020,септември,15.9.2020,1201,0,12,52,40,0,10,"4,33","0,0"
Габрово,2020,септември,15.9.2020,905,3,7,40,13,0,34,"4,42","42,9"
Кюстендил,2020,септември,15.9.2020,1011,2,5,45,22,8,46,"4,45","40,0"
Монтана,2020,септември,15.9.2020,994,4,5,55,22,5,11,"5,53","80,0"
Перник,2020,септември,15.9.2020,447,3,4,0,10,0,15,"0,00","75,0"
Плевен,2020,септември,15.9.2020,2272,10,14,116,105,11,40,"5,11","71,4"
Пловдив,2020,септември,15.9.2020,7617,16,39,398,242,48,84,"5,23","41,0"
Разград,2020,септември,15.9.2020,553,3,3,50,22,0,15,"9,04","100,0"
Русе,2020,септември,15.9.2020,1850,4,10,143,54,33,20,"7,73","40,0"
Сливен,2020,септември,15.9.2020,1167,5,8,98,27,0,48,"8,40","62,5"
Смолян,2020,септември,15.9.2020,1059,4,8,179,9,9,20,"16,90","50,0"
София-град,2020,септември,15.9.2020,12314,13,74,583,682,101,223,"4,73","17,6"
Шумен,2020,септември,15.9.2020,747,0,5,0,28,0,35,"0,00","0,0"
Ямбол,2020,септември,15.9.2020,452,1,4,10,23,0,10,"2,21","25,0"
Бургас,2020,септември,15.9.2020,3050,5,18,91,77,12,53,"2,98","27,8"
Кърджали,2020,септември,15.9.2020,769,2,6,26,19,4,24,"3,38","33,3"
Хасково,2020,септември,15.9.2020,1093,6,11,27,38,0,22,"2,47","54,5"
Благоевград,2020,юли,15.7.2020,1815,6,11,187,57,20,69,"10,30","54,5"
Варна,2020,юли,15.7.2020,2389,1,19,70,90,0,70,"2,93","5,3"
Велико Търново,2020,юли,15.7.2020,1576,3,13,28,39,0,35,"1,78","23,1"
Видин,2020,юли,15.7.2020,320,1,2,54,6,6,0,"16,88","50,0"
Враца,2020,юли,15.7.2020,1201,0,12,43,40,6,10,"3,58","0,0"
Габрово,2020,юли,15.7.2020,905,3,7,36,13,0,30,"3,98","42,9"
Кюстендил,2020,юли,15.7.2020,1011,2,5,45,22,8,46,"4,45","40,0"
Монтана,2020,юли,15.7.2020,994,4,5,52,22,5,11,"5,23","80,0"
Перник,2020,юли,15.7.2020,447,3,4,0,10,0,15,"0,00","75,0"
Плевен,2020,юли,15.7.2020,2227,10,14,116,105,11,40,"5,21","71,4"
Пловдив,2020,юли,15.7.2020,7617,16,39,373,242,68,84,"4,90","41,0"
Разград,2020,юли,15.7.2020,553,3,3,50,22,0,15,"9,04","100,0"
Русе,2020,юли,15.7.2020,1850,4,10,279,54,48,20,"15,08","40,0"
Сливен,2020,юли,15.7.2020,1167,5,8,96,27,0,48,"8,23","62,5"
Смолян,2020,юли,15.7.2020,1059,4,8,157,9,9,13,"14,83","50,0"
София-град,2020,юли,15.7.2020,12314,12,74,349,665,122,213,"2,83","16,2"
Шумен,2020,юли,15.7.2020,747,0,5,0,28,0,35,"0,00","0,0"
Ямбол,2020,юли,15.7.2020,452,1,4,10,23,0,10,"2,21","25,0"
Бургас,2020,юли,15.7.2020,3050,2,18,22,77,12,53,"0,72","11,1"
